"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000","","","CAN","40","ID: 589 (0x24d), Length: 5"
"2","0.000010","","","CAN","40","ID: 319 (0x13f), Length: 8"
"3","0.000014","","","CAN","40","ID: 356 (0x164), Length: 8"
"4","0.000016","","","CAN","40","ID: 380 (0x17c), Length: 8"
"5","0.000017","","","CAN","40","ID: 398 (0x18e), Length: 3"
"6","0.000019","","","CAN","40","ID: 660 (0x294), Length: 8"
"7","0.000021","","","CAN","40","ID: 542 (0x21e), Length: 7"
"8","0.000022","","","CAN","40","ID: 777 (0x309), Length: 8"
"9","0.001383","","","CAN","40","ID: 387 (0x183), Length: 8"
"10","0.001390","","","CAN","40","ID: 323 (0x143), Length: 4"
"11","0.004141","","","CAN","40","ID: 149 (0x095), Length: 8"
"12","0.004147","","","CAN","40","ID: 773 (0x305), Length: 2"
"13","0.006957","","","CAN","40","ID: 358 (0x166), Length: 4"
"14","0.008433","","","CAN","40","ID: 344 (0x158), Length: 8"
"15","0.008439","","","CAN","40","ID: 353 (0x161), Length: 8"
"16","0.008441","","","CAN","40","ID: 401 (0x191), Length: 7"
"17","0.008443","","","CAN","40","ID: 356 (0x164), Length: 8"
"18","0.008444","","","CAN","40","ID: 307 (0x133), Length: 5"
"19","0.008446","","","CAN","40","ID: 310 (0x136), Length: 8"
"20","0.009792","","","CAN","40","ID: 314 (0x13a), Length: 8"
"21","0.009797","","","CAN","40","ID: 319 (0x13f), Length: 8"
"22","0.009803","","","CAN","40","ID: 380 (0x17c), Length: 8"
"23","0.009804","","","CAN","40","ID: 398 (0x18e), Length: 3"
"24","0.009806","","","CAN","40","ID: 463 (0x1cf), Length: 6"
"25","0.009807","","","CAN","40","ID: 476 (0x1dc), Length: 4"
"26","0.011226","","","CAN","40","ID: 589 (0x24d), Length: 5"
"27","0.011234","","","CAN","40","ID: 387 (0x183), Length: 8"
"28","0.011237","","","CAN","40","ID: 323 (0x143), Length: 4"
"29","0.012631","","","CAN","40","ID: 57 (0x039), Length: 2"
"30","0.014049","","","CAN","40","ID: 149 (0x095), Length: 8"
"31","0.014054","","","CAN","40","ID: 420 (0x1a4), Length: 8"
"32","0.015473","","","CAN","40","ID: 426 (0x1aa), Length: 8"
"33","0.015479","","","CAN","40","ID: 432 (0x1b0), Length: 7"
"34","0.015481","","","CAN","40","ID: 464 (0x1d0), Length: 8"
"35","0.016955","","","CAN","40","ID: 358 (0x166), Length: 4"
"36","0.019101","","","CAN","40","ID: 344 (0x158), Length: 8"
"37","0.019108","","","CAN","40","ID: 353 (0x161), Length: 8"
"38","0.019110","","","CAN","40","ID: 401 (0x191), Length: 7"
"39","0.019111","","","CAN","40","ID: 307 (0x133), Length: 5"
"40","0.019113","","","CAN","40","ID: 310 (0x136), Length: 8"
"41","0.019115","","","CAN","40","ID: 314 (0x13a), Length: 8"
"42","0.019116","","","CAN","40","ID: 319 (0x13f), Length: 8"
"43","0.019117","","","CAN","40","ID: 356 (0x164), Length: 8"
"44","0.019119","","","CAN","40","ID: 380 (0x17c), Length: 8"
"45","0.020467","","","CAN","40","ID: 398 (0x18e), Length: 3"
"46","0.021889","","","CAN","40","ID: 387 (0x183), Length: 8"
"47","0.021895","","","CAN","40","ID: 323 (0x143), Length: 4"
"48","0.022611","","","CAN","40","ID: 589 (0x24d), Length: 5"
"49","0.023300","","","CAN","40","ID: 149 (0x095), Length: 8"
"50","0.026133","","","CAN","40","ID: 57 (0x039), Length: 2"
"51","0.026140","","","CAN","40","ID: 358 (0x166), Length: 4"
"52","0.027552","","","CAN","40","ID: 344 (0x158), Length: 8"
"53","0.027557","","","CAN","40","ID: 353 (0x161), Length: 8"
"54","0.027559","","","CAN","40","ID: 401 (0x191), Length: 7"
"55","0.028976","","","CAN","40","ID: 307 (0x133), Length: 5"
"56","0.028981","","","CAN","40","ID: 310 (0x136), Length: 8"
"57","0.028982","","","CAN","40","ID: 314 (0x13a), Length: 8"
"58","0.028984","","","CAN","40","ID: 319 (0x13f), Length: 8"
"59","0.028985","","","CAN","40","ID: 356 (0x164), Length: 8"
"60","0.030387","","","CAN","40","ID: 380 (0x17c), Length: 8"
"61","0.030392","","","CAN","40","ID: 398 (0x18e), Length: 3"
"62","0.030393","","","CAN","40","ID: 463 (0x1cf), Length: 6"
"63","0.030395","","","CAN","40","ID: 476 (0x1dc), Length: 4"
"64","0.030396","","","CAN","40","ID: 387 (0x183), Length: 8"
"65","0.031810","","","CAN","40","ID: 323 (0x143), Length: 4"
"66","0.033966","","","CAN","40","ID: 589 (0x24d), Length: 5"
"67","0.034648","","","CAN","40","ID: 149 (0x095), Length: 8"
"68","0.034654","","","CAN","40","ID: 420 (0x1a4), Length: 8"
"69","0.034656","","","CAN","40","ID: 426 (0x1aa), Length: 8"
"70","0.034658","","","CAN","40","ID: 432 (0x1b0), Length: 7"
"71","0.034659","","","CAN","40","ID: 464 (0x1d0), Length: 8"
"72","0.036077","","","CAN","40","ID: 358 (0x166), Length: 4"
"73","0.037485","","","CAN","40","ID: 344 (0x158), Length: 8"
"74","0.037490","","","CAN","40","ID: 353 (0x161), Length: 8"
"75","0.038902","","","CAN","40","ID: 401 (0x191), Length: 7"
"76","0.038906","","","CAN","40","ID: 307 (0x133), Length: 5"
"77","0.038908","","","CAN","40","ID: 310 (0x136), Length: 8"
"78","0.038910","","","CAN","40","ID: 314 (0x13a), Length: 8"
"79","0.038911","","","CAN","40","ID: 319 (0x13f), Length: 8"
"80","0.038913","","","CAN","40","ID: 356 (0x164), Length: 8"
"81","0.040225","","","CAN","40","ID: 380 (0x17c), Length: 8"
"82","0.040230","","","CAN","40","ID: 57 (0x039), Length: 2"
"83","0.040231","","","CAN","40","ID: 398 (0x18e), Length: 3"
"84","0.040233","","","CAN","40","ID: 660 (0x294), Length: 8"
"85","0.040234","","","CAN","40","ID: 542 (0x21e), Length: 7"
"86","0.041715","","","CAN","40","ID: 387 (0x183), Length: 8"
"87","0.041720","","","CAN","40","ID: 323 (0x143), Length: 4"
"88","0.044736","","","CAN","40","ID: 149 (0x095), Length: 8"
"89","0.045327","","","CAN","40","ID: 589 (0x24d), Length: 5"
"90","0.046011","","","CAN","40","ID: 358 (0x166), Length: 4"
"91","0.047283","","","CAN","40","ID: 344 (0x158), Length: 8"
"92","0.048394","","","CAN","40","ID: 353 (0x161), Length: 8"
"93","0.048400","","","CAN","40","ID: 401 (0x191), Length: 7"
"94","0.048402","","","CAN","40","ID: 307 (0x133), Length: 5"
"95","0.048404","","","CAN","40","ID: 310 (0x136), Length: 8"
"96","0.048406","","","CAN","40","ID: 314 (0x13a), Length: 8"
"97","0.050104","","","CAN","40","ID: 319 (0x13f), Length: 8"
"98","0.050112","","","CAN","40","ID: 356 (0x164), Length: 8"
