"No.","Time","Source","Destination","Protocol","Length","Info","Data"
"1","0.000000","","","CAN","40","ID: 589 (0x24d), Length: 5","000000013b"
"26","0.011226","","","CAN","40","ID: 589 (0x24d), Length: 5","000000012c"
"48","0.022611","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000182"
"66","0.033966","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001a1"
"89","0.045327","","","CAN","40","ID: 589 (0x24d), Length: 5","000000019f"
"113","0.056658","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000132"
"129","0.068015","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000155"
"156","0.079031","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000151"
"189","0.095314","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001cf"
"210","0.106217","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001e5"
"233","0.117105","","","CAN","40","ID: 589 (0x24d), Length: 5","000000018e"
"266","0.133653","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000173"
"287","0.144492","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000175"
"308","0.155269","","","CAN","40","ID: 589 (0x24d), Length: 5","000000019e"
"342","0.171536","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001cb"
"365","0.182984","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000136"
"383","0.194243","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001f0"
"407","0.205580","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001d8"
"429","0.217037","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001aa"
"446","0.228388","","","CAN","40","ID: 589 (0x24d), Length: 5","000000016b"
"474","0.239748","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000147"
"498","0.250499","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000152"
"519","0.261186","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001d7"
"540","0.272402","","","CAN","40","ID: 589 (0x24d), Length: 5","000000018e"
"563","0.283217","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001a0"
"582","0.294617","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000151"
"602","0.305858","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001e0"
"625","0.316932","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001ea"
"648","0.327679","","","CAN","40","ID: 589 (0x24d), Length: 5","000000013e"
"669","0.338928","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001d2"
"691","0.350296","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000144"
"717","0.361734","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000116"
"742","0.372979","","","CAN","40","ID: 589 (0x24d), Length: 5","000000011a"
"772","0.388792","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000162"
"794","0.399632","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001d3"
"816","0.410607","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001d5"
"838","0.421853","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000131"
"859","0.433360","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001c6"
"882","0.444656","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001c3"
"904","0.455898","","","CAN","40","ID: 589 (0x24d), Length: 5","000000011d"
"920","0.466162","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001c7"
"959","0.482031","","","CAN","40","ID: 589 (0x24d), Length: 5","000000016d"
"979","0.493148","","","CAN","40","ID: 589 (0x24d), Length: 5","000000012c"
"1001","0.504589","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001d8"
"1023","0.515716","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001a7"
"1040","0.526003","","","CAN","40","ID: 589 (0x24d), Length: 5","0000000114"
"1063","0.537167","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001ab"
"1094","0.552936","","","CAN","40","ID: 589 (0x24d), Length: 5","00000001b4"
