
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
62:E3:27:AD:ED:6D, 2016-08-05 17:31:35, 2016-08-05 17:39:28, 11,  54, WEP, WEP, OPN, -49,     2755,       86,   0.  0.  0.  0,   7, WCTF_01, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C0:4A:00:26:C3:B0, 2016-08-05 17:31:43, 2016-08-05 17:39:27, -56,      103, 62:E3:27:AD:ED:6D,
E8:DE:27:12:FF:3B, 2016-08-05 17:31:35, 2016-08-05 17:39:28, -55,     7922, 62:E3:27:AD:ED:6D,
00:14:04:C3:80:F4, 2016-08-05 17:31:35, 2016-08-05 17:39:28, -51,    10617, 62:E3:27:AD:ED:6D,
08:3E:8E:50:07:2A, 2016-08-05 17:31:35, 2016-08-05 17:39:28, -43,     7802, 62:E3:27:AD:ED:6D,
2C:6E:85:9D:57:4C, 2016-08-05 17:35:01, 2016-08-05 17:39:08, -52,      105, 62:E3:27:AD:ED:6D,
00:C0:CA:89:20:CE, 2016-08-05 17:32:38, 2016-08-05 17:39:15, -49,     3747, 62:E3:27:AD:ED:6D,
E8:DE:27:A5:A1:7B, 2016-08-05 17:33:02, 2016-08-05 17:39:27, -48,       66, 62:E3:27:AD:ED:6D,
00:C0:CA:59:E8:06, 2016-08-05 17:31:35, 2016-08-05 17:39:27, -32,    23875, 62:E3:27:AD:ED:6D,
F4:F2:6D:16:D5:26, 2016-08-05 17:31:56, 2016-08-05 17:39:25,   0,     5922, 62:E3:27:AD:ED:6D,

D,

