
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
62:E3:27:AD:ED:6D, 2016-08-05 17:43:07, 2016-08-05 18:19:12, 11,  54, WEP, WEP40 WEP, OPN, -44,    12997,     2285,   0.  0.  0.  0,   7, WCTF_01, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:C0:CA:76:F9:67, 2016-08-05 18:04:08, 2016-08-05 18:16:29, -44,    12806, 62:E3:27:AD:ED:6D,
00:23:FE:B4:EF:F5, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -56,        2, 62:E3:27:AD:ED:6D,
00:24:B3:A3:E4:B9, 2016-08-05 18:00:16, 2016-08-05 18:00:16, -56,        1, 62:E3:27:AD:ED:6D,
00:EC:4E:61:A7:E3, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -57,        2, 62:E3:27:AD:ED:6D,
00:40:A1:AC:00:4F, 2016-08-05 18:00:16, 2016-08-05 18:00:16, -57,        2, 62:E3:27:AD:ED:6D,
00:7D:B8:6A:46:92, 2016-08-05 18:00:16, 2016-08-05 18:00:16, -57,        1, 62:E3:27:AD:ED:6D,
00:B8:F0:50:C6:53, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -58,        2, 62:E3:27:AD:ED:6D,
00:6B:5F:34:17:5F, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -58,        2, 62:E3:27:AD:ED:6D,
00:72:D4:9E:27:7E, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -58,        2, 62:E3:27:AD:ED:6D,
00:B5:FC:69:A1:22, 2016-08-05 18:00:16, 2016-08-05 18:00:16, -58,        2, 62:E3:27:AD:ED:6D,
00:80:24:CB:F6:DA, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -59,        2, 62:E3:27:AD:ED:6D,
00:61:3D:BB:95:54, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -59,        2, 62:E3:27:AD:ED:6D,
00:41:99:B5:AA:3A, 2016-08-05 18:00:16, 2016-08-05 18:00:16, -59,        2, 62:E3:27:AD:ED:6D,
00:0D:87:C0:AE:B0, 2016-08-05 18:00:16, 2016-08-05 18:00:16, -59,        2, 62:E3:27:AD:ED:6D,
00:1F:52:90:ED:24, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -60,        2, 62:E3:27:AD:ED:6D,
00:C5:A7:0D:63:CF, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -60,        2, 62:E3:27:AD:ED:6D,
00:7C:A5:C0:35:39, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -60,        2, 62:E3:27:AD:ED:6D,
00:92:BF:5E:FC:06, 2016-08-05 18:00:16, 2016-08-05 18:00:16, -60,        2, 62:E3:27:AD:ED:6D,
00:5D:52:8D:42:A5, 2016-08-05 18:00:16, 2016-08-05 18:00:16, -60,        2, 62:E3:27:AD:ED:6D,
00:D7:C7:46:94:25, 2016-08-05 18:00:16, 2016-08-05 18:00:16, -60,        2, 62:E3:27:AD:ED:6D,
00:1D:0C:BC:5D:F9, 2016-08-05 18:00:16, 2016-08-05 18:00:16, -60,        2, 62:E3:27:AD:ED:6D,
00:6B:73:7F:2B:A8, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -61,        2, 62:E3:27:AD:ED:6D,
00:1B:18:C9:CD:28, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -61,        2, 62:E3:27:AD:ED:6D,
00:8C:3C:CE:D2:5C, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -61,        2, 62:E3:27:AD:ED:6D,
00:57:A3:76:B5:9F, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -61,        2, 62:E3:27:AD:ED:6D,
00:83:74:B2:10:B7, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -61,        2, 62:E3:27:AD:ED:6D,
00:D9:FF:46:1F:93, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -61,        2, 62:E3:27:AD:ED:6D,
00:52:3E:E5:53:05, 2016-08-05 18:00:16, 2016-08-05 18:00:16, -61,        2, 62:E3:27:AD:ED:6D,
00:8E:5A:68:0D:85, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -62,        2, 62:E3:27:AD:ED:6D,
00:B5:C2:FB:7E:8F, 2016-08-05 18:00:17, 2016-08-05 18:00:17, -62,        2, 62:E3:27:AD:ED:6D,
00:F0:20:B9:93:05, 2016-08-05 18:00:16, 2016-08-05 18:00:16, -62,        2, 62:E3:27:AD:ED:6D,
00:8B:10:04:79:70, 2016-08-05 17:58:49, 2016-08-05 17:58:49, -33,        1, 62:E3:27:AD:ED:6D,
00:B2:64:81:CF:9B, 2016-08-05 17:58:49, 2016-08-05 17:58:49, -34,        2, 62:E3:27:AD:ED:6D,
00:C3:9D:C5:41:D5, 2016-08-05 17:58:49, 2016-08-05 17:58:49, -34,        1, 62:E3:27:AD:ED:6D,
00:9B:19:4B:E7:F6, 2016-08-05 17:58:49, 2016-08-05 17:58:49, -34,        2, 62:E3:27:AD:ED:6D,
2E:B1:F6:CD:3B:5E, 2016-08-05 17:54:01, 2016-08-05 17:56:28, -44,       35, 62:E3:27:AD:ED:6D,
00:41:CC:03:2F:B0, 2016-08-05 17:56:28, 2016-08-05 17:56:28, -55,        2, 62:E3:27:AD:ED:6D,
00:68:EF:45:10:CA, 2016-08-05 17:56:29, 2016-08-05 17:56:29, -56,        2, 62:E3:27:AD:ED:6D,
00:C5:A3:B8:C9:D3, 2016-08-05 17:56:29, 2016-08-05 17:56:29, -57,        1, 62:E3:27:AD:ED:6D,
00:A0:EC:2B:62:EC, 2016-08-05 17:56:29, 2016-08-05 17:56:29, -57,        2, 62:E3:27:AD:ED:6D,
00:0A:71:A7:68:94, 2016-08-05 17:56:28, 2016-08-05 17:56:28, -57,        2, 62:E3:27:AD:ED:6D,
00:4B:E7:BE:5A:D3, 2016-08-05 17:56:28, 2016-08-05 17:56:28, -57,        1, 62:E3:27:AD:ED:6D,
00:51:04:B5:09:CD, 2016-08-05 17:56:30, 2016-08-05 17:56:30, -59,        1, 62:E3:27:AD:ED:6D,
00:85:4E:27:2C:B6, 2016-08-05 17:56:29, 2016-08-05 17:56:29, -59,        1, 62:E3:27:AD:ED:6D,
00:85:5B:B1:43:B5, 2016-08-05 17:56:29, 2016-08-05 17:56:29, -59,        2, 62:E3:27:AD:ED:6D,
00:BB:F9:8E:0E:79, 2016-08-05 17:56:30, 2016-08-05 17:56:30, -60,        1, 62:E3:27:AD:ED:6D,
00:13:AF:65:3E:11, 2016-08-05 17:56:30, 2016-08-05 17:56:30, -61,        1, 62:E3:27:AD:ED:6D,
00:CC:D8:53:80:85, 2016-08-05 17:56:28, 2016-08-05 17:56:28, -61,        1, 62:E3:27:AD:ED:6D,
00:FE:B4:C6:FF:D5, 2016-08-05 17:55:28, 2016-08-05 17:55:28, -56,        2, 62:E3:27:AD:ED:6D,
00:FB:C4:77:60:B3, 2016-08-05 17:55:26, 2016-08-05 17:55:26, -56,        2, 62:E3:27:AD:ED:6D,
00:F9:99:A4:46:DD, 2016-08-05 17:55:27, 2016-08-05 17:55:27, -57,        1, 62:E3:27:AD:ED:6D,
00:A5:74:26:9C:72, 2016-08-05 17:55:30, 2016-08-05 17:55:30, -58,        1, 62:E3:27:AD:ED:6D,
00:5A:90:F6:FE:D7, 2016-08-05 17:55:29, 2016-08-05 17:55:29, -58,        1, 62:E3:27:AD:ED:6D,
00:02:B3:33:97:5D, 2016-08-05 17:55:29, 2016-08-05 17:55:29, -58,        1, 62:E3:27:AD:ED:6D,
00:B5:EA:A3:52:41, 2016-08-05 17:55:28, 2016-08-05 17:55:28, -58,        2, 62:E3:27:AD:ED:6D,
00:B4:5E:95:AA:26, 2016-08-05 17:55:27, 2016-08-05 17:55:27, -58,        1, 62:E3:27:AD:ED:6D,
00:AA:DC:00:21:3C, 2016-08-05 17:55:27, 2016-08-05 17:55:27, -58,        2, 62:E3:27:AD:ED:6D,
00:6F:C5:30:E0:3C, 2016-08-05 17:55:27, 2016-08-05 17:55:27, -58,        2, 62:E3:27:AD:ED:6D,
00:A3:C5:9D:57:8F, 2016-08-05 17:55:27, 2016-08-05 17:55:27, -58,        2, 62:E3:27:AD:ED:6D,
00:2B:C0:90:04:3A, 2016-08-05 17:55:30, 2016-08-05 17:55:30, -59,        1, 62:E3:27:AD:ED:6D,
00:E6:FF:48:1A:96, 2016-08-05 17:55:30, 2016-08-05 17:55:30, -59,        1, 62:E3:27:AD:ED:6D,
00:37:96:11:FD:95, 2016-08-05 17:55:29, 2016-08-05 17:55:29, -59,        1, 62:E3:27:AD:ED:6D,
00:D5:53:4D:97:5D, 2016-08-05 17:55:29, 2016-08-05 17:55:29, -59,        1, 62:E3:27:AD:ED:6D,
00:D4:B3:C1:77:05, 2016-08-05 17:55:29, 2016-08-05 17:55:29, -59,        1, 62:E3:27:AD:ED:6D,
00:DA:09:C2:0A:EA, 2016-08-05 17:55:28, 2016-08-05 17:55:28, -59,        1, 62:E3:27:AD:ED:6D,
00:32:D3:77:9A:FC, 2016-08-05 17:55:28, 2016-08-05 17:55:28, -59,        1, 62:E3:27:AD:ED:6D,
00:81:36:68:29:62, 2016-08-05 17:55:27, 2016-08-05 17:55:27, -59,        1, 62:E3:27:AD:ED:6D,
00:3D:59:F6:C8:64, 2016-08-05 17:55:26, 2016-08-05 17:55:26, -60,        1, 62:E3:27:AD:ED:6D,
00:FD:70:26:BE:E7, 2016-08-05 17:55:30, 2016-08-05 17:55:30, -61,        1, 62:E3:27:AD:ED:6D,
00:02:A9:D9:79:43, 2016-08-05 17:55:29, 2016-08-05 17:55:29, -61,        2, 62:E3:27:AD:ED:6D,
00:57:8C:99:62:07, 2016-08-05 17:52:02, 2016-08-05 17:52:02, -61,        2, 62:E3:27:AD:ED:6D,
00:16:9D:07:8B:68, 2016-08-05 17:52:02, 2016-08-05 17:52:02, -62,        1, 62:E3:27:AD:ED:6D,
00:47:D3:F3:80:D8, 2016-08-05 17:52:01, 2016-08-05 17:52:01, -64,        1, 62:E3:27:AD:ED:6D,
00:F5:7C:7F:5C:25, 2016-08-05 17:52:01, 2016-08-05 17:52:01, -65,        1, 62:E3:27:AD:ED:6D,
