
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
62:E3:27:AD:ED:6D, 2016-08-05 18:19:44, 2016-08-05 18:26:44, 11,  54, WEP, WEP, OPN, -43,     2539,     9274,   0.  0.  0.  0,   7, WCTF_01, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
E8:DE:27:A5:A1:7B, 2016-08-05 18:19:47, 2016-08-05 18:22:45, -49,       54, 62:E3:27:AD:ED:6D,
00:4D:F5:33:1B:FB, 2016-08-05 18:20:25, 2016-08-05 18:20:25, -31,        2, 62:E3:27:AD:ED:6D,
00:53:F6:F4:C6:35, 2016-08-05 18:20:24, 2016-08-05 18:20:24, -31,        1, 62:E3:27:AD:ED:6D,
00:5E:77:EB:F9:63, 2016-08-05 18:20:24, 2016-08-05 18:20:24, -32,        2, 62:E3:27:AD:ED:6D,
00:40:4C:3F:E6:64, 2016-08-05 18:20:24, 2016-08-05 18:20:24, -32,        2, 62:E3:27:AD:ED:6D,
00:AB:27:38:9F:ED, 2016-08-05 18:20:25, 2016-08-05 18:20:25, -33,        2, 62:E3:27:AD:ED:6D,
00:94:5C:47:D4:42, 2016-08-05 18:20:25, 2016-08-05 18:20:25, -34,        1, 62:E3:27:AD:ED:6D,
00:F6:5B:B1:D6:EA, 2016-08-05 18:20:25, 2016-08-05 18:20:25, -34,        2, 62:E3:27:AD:ED:6D,
00:69:CC:39:0A:65, 2016-08-05 18:20:24, 2016-08-05 18:20:25, -34,        2, 62:E3:27:AD:ED:6D,
00:1F:49:CE:06:61, 2016-08-05 18:20:24, 2016-08-05 18:20:24, -34,        1, 62:E3:27:AD:ED:6D,
00:40:08:9B:8F:2E, 2016-08-05 18:20:28, 2016-08-05 18:20:28, -34,        2, 62:E3:27:AD:ED:6D,
00:7B:D5:1B:1C:DE, 2016-08-05 18:20:28, 2016-08-05 18:20:28, -33,        1, 62:E3:27:AD:ED:6D,
00:8B:E8:DD:7A:2F, 2016-08-05 18:20:29, 2016-08-05 18:20:29, -33,        2, 62:E3:27:AD:ED:6D,
00:66:06:1E:81:23, 2016-08-05 18:20:29, 2016-08-05 18:20:29, -33,        1, 62:E3:27:AD:ED:6D,
00:FC:8A:AD:0D:78, 2016-08-05 18:20:30, 2016-08-05 18:20:30, -33,        2, 62:E3:27:AD:ED:6D,
00:72:F9:EE:47:13, 2016-08-05 18:20:28, 2016-08-05 18:20:28, -32,        1, 62:E3:27:AD:ED:6D,
00:F0:BA:38:8B:49, 2016-08-05 18:20:29, 2016-08-05 18:20:29, -32,        1, 62:E3:27:AD:ED:6D,
00:E1:B2:D4:1A:51, 2016-08-05 18:20:26, 2016-08-05 18:20:26, -31,        1, 62:E3:27:AD:ED:6D,
00:46:ED:A1:09:EE, 2016-08-05 18:20:27, 2016-08-05 18:20:27, -31,        1, 62:E3:27:AD:ED:6D,
00:6D:32:E5:95:0D, 2016-08-05 18:20:27, 2016-08-05 18:20:27, -31,        1, 62:E3:27:AD:ED:6D,
00:B3:A6:35:77:EB, 2016-08-05 18:20:27, 2016-08-05 18:20:27, -31,        1, 62:E3:27:AD:ED:6D,
00:78:36:C5:18:3C, 2016-08-05 18:20:28, 2016-08-05 18:20:28, -31,        1, 62:E3:27:AD:ED:6D,
00:1E:A2:C5:53:19, 2016-08-05 18:20:28, 2016-08-05 18:20:29, -31,        2, 62:E3:27:AD:ED:6D,
00:B1:CB:4F:76:E3, 2016-08-05 18:20:29, 2016-08-05 18:20:29, -31,        2, 62:E3:27:AD:ED:6D,
00:6D:FD:64:58:F7, 2016-08-05 18:20:25, 2016-08-05 18:20:26, -30,        2, 62:E3:27:AD:ED:6D,
00:C7:C1:C3:01:CC, 2016-08-05 18:20:26, 2016-08-05 18:20:26, -30,        2, 62:E3:27:AD:ED:6D,
00:29:F7:27:DA:CE, 2016-08-05 18:20:26, 2016-08-05 18:20:26, -30,        2, 62:E3:27:AD:ED:6D,
00:11:28:C3:45:43, 2016-08-05 18:20:26, 2016-08-05 18:20:26, -30,        2, 62:E3:27:AD:ED:6D,
00:BF:D9:9F:06:AD, 2016-08-05 18:20:26, 2016-08-05 18:20:26, -29,        2, 62:E3:27:AD:ED:6D,
08:3E:8E:50:07:2A, 2016-08-05 18:19:44, 2016-08-05 18:26:43, -39,     5782, 62:E3:27:AD:ED:6D,
42:B4:07:67:A5:EC, 2016-08-05 18:19:44, 2016-08-05 18:26:42, -58,    11169, 62:E3:27:AD:ED:6D,
C0:4A:00:26:C3:B0, 2016-08-05 18:20:19, 2016-08-05 18:26:13, -53,       64, 62:E3:27:AD:ED:6D,
E8:DE:27:12:FF:3B, 2016-08-05 18:19:44, 2016-08-05 18:26:43, -45,    20828, 62:E3:27:AD:ED:6D,
00:C0:CA:59:E8:06, 2016-08-05 18:19:44, 2016-08-05 18:26:43, -35,    14883, 62:E3:27:AD:ED:6D,
00:C0:CA:89:20:CE, 2016-08-05 18:19:44, 2016-08-05 18:26:43, -35,    16818, 62:E3:27:AD:ED:6D,

D,

