
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
62:E3:27:AD:ED:6D, 2016-08-05 18:27:36, 2016-08-05 18:33:30, 11,  54, WEP, WEP40 WEP, OPN, -43,     2001,      130,   0.  0.  0.  0,   7, WCTF_01, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
00:C0:CA:81:F3:67, 2016-08-05 18:27:44, 2016-08-05 18:27:56, -46,        4, 62:E3:27:AD:ED:6D,
42:B4:07:67:A5:EC, 2016-08-05 18:27:37, 2016-08-05 18:32:46, -57,     1072, 62:E3:27:AD:ED:6D,
C0:4A:00:26:C3:B0, 2016-08-05 18:27:56, 2016-08-05 18:32:45, -49,       52, 62:E3:27:AD:ED:6D,
08:3E:8E:50:07:2A, 2016-08-05 18:27:36, 2016-08-05 18:33:30, -36,     4980, 62:E3:27:AD:ED:6D,
E8:DE:27:12:FF:3B, 2016-08-05 18:27:36, 2016-08-05 18:33:30, -46,    10026, 62:E3:27:AD:ED:6D,
00:C0:CA:59:E8:06, 2016-08-05 18:27:36, 2016-08-05 18:33:30, -29,    10910, 62:E3:27:AD:ED:6D,
00:C0:CA:89:20:CE, 2016-08-05 18:27:36, 2016-08-05 18:33:30, -29,    12459, 62:E3:27:AD:ED:6D,
E8:DE:27:A5:A1:7B, 2016-08-05 18:27:45, 2016-08-05 18:33:05,  -1,        2, 62:E3:27:AD:ED:6D,
F4:F2:6D:16:D5:26, 2016-08-05 18:27:36, 2016-08-05 18:33:29,   0,    11049, 62:E3:27:AD:ED:6D,

