
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
62:E3:27:AD:ED:6D, 2016-08-05 18:38:01, 2016-08-05 19:17:25, 11,  54, WEP OPN, WEP, OPN, -53,    12103,       46,   0.  0.  0.  0,   7, WCTF_01, 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
C0:4A:00:26:C3:B0, 2016-08-05 18:38:07, 2016-08-05 19:15:44, -53,      410, 62:E3:27:AD:ED:6D,
00:C0:CA:81:F3:67, 2016-08-05 18:41:24, 2016-08-05 18:45:03, -47,       12, 62:E3:27:AD:ED:6D,
E8:DE:27:A5:A1:7B, 2016-08-05 18:38:24, 2016-08-05 18:56:02, -53,       51, 62:E3:27:AD:ED:6D,
E8:DE:27:12:FF:3B, 2016-08-05 18:38:01, 2016-08-05 19:05:03, -50,    21878, 62:E3:27:AD:ED:6D,
00:1A:EF:0A:B8:5E, 2016-08-05 19:07:40, 2016-08-05 19:12:40, -51,     4366, 62:E3:27:AD:ED:6D,
08:3E:8E:50:07:2A, 2016-08-05 18:38:01, 2016-08-05 19:17:25, -47,    55256, 62:E3:27:AD:ED:6D,
00:C0:CA:89:20:CE, 2016-08-05 18:38:01, 2016-08-05 19:17:05, -26,    79742, 62:E3:27:AD:ED:6D,
00:C0:CA:59:E8:06, 2016-08-05 18:38:01, 2016-08-05 19:17:05, -25,    78695, 62:E3:27:AD:ED:6D,
F4:F2:6D:16:D5:26, 2016-08-05 18:38:13, 2016-08-05 19:16:46,   0,    65064, 62:E3:27:AD:ED:6D,

D,

